MegaExpress BOM		
		
Description	Count	URL
Electronics		
		
"7"" Screen"	1	https://www.aliexpress.com/item/1005004757371024.html
9v Battery Charging Module	1	https://www.aliexpress.com/item/1005006860598580.html
18650 Flat Top Battery	2	https://www.amazon.co.uk/dp/B0D47M94C4
Game Gear Sound Board	1	Various but best to search
1w Speakers	2	https://www.ebay.co.uk/itm/284687025047
PC Engine	1	Various / Japanese auctions are best - ideally you want the white model
PC Engine Controller (PI-PD001)	1	Various / Japanese auctions are best - ideally you want the white model
6mm 2 position switch	1	https://www.amazon.co.uk/gp/product/B07H9VPK1J/
		
PCBS		
		
MegaExpress Expansion Breakout	1	
MegaExpress Controller Breakout	1	
MegaExpress Power Distribution Board	1	
		
3D MODELS		
		
If printing one solid model		
Back-Full	1	
Front-Logo-Cutout-Full	1	
Logo	1	
Power-Switch	1	
Screen-Lock	4	
		
if printing on smaller printer		
Back-Half-Top	1	
Back-Half-Bottom	1	
Front-Top	1	
Front-Logo-With-Logo-Cutout	1	
Logo	1	
Power-Switch	1	
Screen-Lock	1	
		
Sundries		
M3 Nuts and Screws	12	
M4 Screws	2	
M2 Screws	2	
